title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,balcony_num,furnished,age,total_floors,latitude,longitude
Octave Parijas Horizon,6600283,757,8719.0,Kalyan,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.24440956,73.12325287
Shakti Siyara Heights,6169841,652,9462.946319018405,Kalyan,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2572937,73.14887238
Bhagwati Bhagwati Celeste,4599936,396,11616.0,Dombivali,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.20902634,73.08127594
Relcon Ridhi Sidhi Sadan Of Ridhi Sidhi Co Operative Housing Society Ltd,51980000,1130,46000.0,Ville Parle,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.09784126,72.85115814
J P Ruchita Bliss,3915000,435,9000.0,Nala Sopara,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.42060089,72.80931854
Saras Destiny,4900320,720,6806.0,Ulwe,Mumbai,Apartment,1,1,0,Unfurnished,0,1,18.96756172,73.02495575
Nexus Ratan Heritage,14000000,652,21472.39263803681,Jogeshwari,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.13776207,72.86013031
Aristocrat Guruprasad Divine Residency,16400255,565,29027.0,Chembur,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.0322113,72.89522552
9 PBR 9 PBR,74998440,1770,42372.0,Nerul,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.00825882,73.01303101
Prestige Bellanza Phase 2 Wing D E F At The Prestige City,65900000,2600,25346.153846153848,Mulund,Mumbai,Apartment,4,5,0,Unfurnished,0,1,19.18447304,72.94075775
Konark Darshan,3000000,590,5084.745762711865,Nallasopara W,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.41750526,72.81793976
Mahaavir Mannat,19000000,1685,11275.964391691394,Ulwe,Mumbai,Apartment,3,3,0,Unfurnished,9,1,18.97142792,73.01415253
Octave Parijas Horizon,4350192,484,8988.0,Kalyan,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.24440956,73.12325287
Shakti Siyara Heights,7564352,801,9443.6354556804,Kalyan,Mumbai,Apartment,2,2,0,Unfurnished,0,1,19.2572937,73.14887238
Bhagwati Bhagwati Celeste,4799800,412,11650.0,Dombivali,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.20902634,73.08127594
Relcon Ridhi Sidhi Sadan Of Ridhi Sidhi Co Operative Housing Society Ltd,41007620,891,46024.26487093154,Ville Parle,Mumbai,Apartment,3,3,0,Unfurnished,0,1,19.09784126,72.85115814
J P Ruchita Bliss,3510000,390,9000.0,Nala Sopara,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.42060089,72.80931854
Saras Destiny,7600395,1095,6941.0,Ulwe,Mumbai,Apartment,2,2,0,Unfurnished,0,1,18.96756172,73.02495575
Nexus Ratan Heritage,9900000,463,21382.289416846652,Jogeshwari,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.13776207,72.86013031
Aristocrat Guruprasad Divine Residency,12001385,415,28919.0,Chembur,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.0322113,72.89522552
 ,2800000,484,5785.123966942148,Dombivli,Mumbai,Apartment,1,1,0,Unfurnished,8,1,19.22516632,73.0796814
 ,2800000,480,5833.333333333333,Taloje,Mumbai,Apartment,1,1,0,Unfurnished,5,1,19.07429886,73.11659241
 ,3000000,636,4716.981132075472,Panvel,Mumbai,Apartment,1,1,0,Unfurnished,8,1,18.94964027,73.14614105
Giriraj MK Thakur Complex,4500000,750,6000.0,Shil Phata,Mumbai,Apartment,1,1,0,Unfurnished,7,1,19.14541054,73.0394516
 ,4000000,550,7272.727272727273,Dombivali,Mumbai,Apartment,2,2,0,Unfurnished,8,1,19.20101738,73.09404755
 ,1700000,575,2956.521739130435,Vangani,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.09329033,73.29730225
 ,6200000,685,9051.094890510949,Taloje,Mumbai,Apartment,1,1,0,Unfurnished,5,1,19.07429886,73.11659241
 ,4800000,594,8080.80808080808,Kalyan,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.25495338,73.12568665
 ,5500000,350,15714.285714285714,Kharghar,Mumbai,Apartment,1,1,0,Unfurnished,0,1,19.06352806,73.05749512
 ,4500000,700,6428.571428571428,Taloje,Mumbai,Apartment,1,1,0,Unfurnished,5,1,19.07429886,73.11659241
 ,2800000,484,5785.123966942148,Dombivli,Mumbai,Apartment,1,1,0,Unfurnished,8,1,19.22516632,73.0796814
 ,2300000,500,4600.0,Nalasopara,Mumbai,Apartment,1,1,0,Unfurnished,8,1,19.41014671,72.78446198
 ,1800000,550,3272.7272727272725,Shil Phata,Mumbai,Apartment,1,1,0,Semi-Furnished,0,1,19.14541054,73.0394516
 ,3200000,438,7305.936073059361,Dombivali,Mumbai,Apartment,1,1,0,Unfurnished,8,1,19.20101738,73.09404755
 ,2300000,500,4600.0,Nalasopara,Mumbai,Apartment,1,1,0,Unfurnished,8,1,19.41014671,72.78446198
 ,1800000,550,3272.7272727272725,Shil Phata,Mumbai,Apartment,1,1,0,Semi-Furnished,0,1,19.14541054,73.0394516
